J12	Jmax	theta0
0.3	6	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f
0.054165390579134366	1.2605155708847935	-0.795094437019639	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.2605155708847935	-0.6399540590645876	0.049248481908339053	-0.04924848190833918
0.054165390579134366	1.2605155708847935	-0.48481368110953604	0.04924848190833907	-0.049248481908339165
0.054165390579134366	1.2605155708847935	-0.3296733031544845	0.049248481908339053	-0.049248481908339185
0.054165390579134366	1.2605155708847935	-0.17453292519943295	0.049248481908339074	-0.049248481908339165
0.054165390579134366	1.415655948839845	-1.5707963267948966	0.04924848190833917	-0.04924848190833907
0.054165390579134366	1.415655948839845	-1.415655948839845	0.04924848190833908	-0.04924848190833908
0.054165390579134366	1.415655948839845	-1.2605155708847935	0.04924848190833904	-0.04924848190833919
0.054165390579134366	1.415655948839845	-1.105375192929742	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.415655948839845	-0.9502348149746905	0.049248481908339074	-0.049248481908339165
0.054165390579134366	1.415655948839845	-0.795094437019639	0.049248481908339053	-0.049248481908339185
0.054165390579134366	1.415655948839845	-0.6399540590645876	0.04924848190833907	-0.049248481908339165
0.054165390579134366	1.415655948839845	-0.48481368110953604	0.04924848190833907	-0.049248481908339165
0.054165390579134366	1.415655948839845	-0.3296733031544845	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.415655948839845	-0.17453292519943295	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.5707963267948966	-1.5707963267948966	1.5707963267687124	-1.5707963267687124
0.054165390579134366	1.5707963267948966	-1.415655948839845	0.04924848190833907	-0.04924848190833917
0.054165390579134366	1.5707963267948966	-1.2605155708847935	0.04924848190833903	-0.04924848190833919
0.054165390579134366	1.5707963267948966	-1.105375192929742	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.5707963267948966	-0.9502348149746905	0.04924848190833904	-0.049248481908339185
0.054165390579134366	1.5707963267948966	-0.795094437019639	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.5707963267948966	-0.6399540590645876	0.049248481908339074	-0.049248481908339165
0.054165390579134366	1.5707963267948966	-0.48481368110953604	0.049248481908339074	-0.049248481908339165
0.054165390579134366	1.5707963267948966	-0.3296733031544845	0.04924848190833903	-0.04924848190833919
0.054165390579134366	1.5707963267948966	-0.17453292519943295	0.04924848190833904	-0.04924848190833919
0.10833078115826873	0.17453292519943295	-1.5707963267948966	0.09854026416870966	-0.09854026416870953
0.10833078115826873	0.17453292519943295	-1.415655948839845	0.09854026416870965	-0.09854026416870955
0.10833078115826873	0.17453292519943295	-1.2605155708847935	0.09854026416870966	-0.09854026416870953
0.10833078115826873	0.17453292519943295	-1.105375192929742	0.09854026416870966	-0.09854026416870955
0.10833078115826873	0.17453292519943295	-0.9502348149746905	0.09854026416870966	-0.09854026416870953
0.10833078115826873	0.17453292519943295	-0.795094437019639	0.09854026416870966	-0.09854026416870953
0.10833078115826873	0.17453292519943295	-0.6399540590645876	0.09854026416870966	-0.09854026416870955
0.10833078115826873	0.17453292519943295	-0.48481368110953604	0.09854026416870965	-0.09854026416870955
0.10833078115826873	0.17453292519943295	-0.3296733031544845	0.09854026416870965	-0.09854026416870953
0.10833078115826873	0.17453292519943295	-0.17453292519943295	0.09854026416870958	-0.09854026416870958
0.10833078115826873	0.32967330315448445	-1.5707963267948966	0.09854026416870966	-0.09854026416870955
0.10833078115826873	0.32967330315448445	-1.415655948839845	0.09854026416870967	-0.09854026416870952
0.10833078115826873	0.32967330315448445	-1.2605155708847935	0.09854026416870966	-0.09854026416870953
0.10833078115826873	0.32967330315448445	-1.105375192929742	0.09854026416870965	-0.09854026416870955
0.10833078115826873	0.32967330315448445	-0.9502348149746905	0.09854026416870966	-0.09854026416870953
0.10833078115826873	0.32967330315448445	-0.795094437019639	0.09854026416870966	-0.09854026416870953
0.10833078115826873	0.32967330315448445	-0.6399540590645876	0.09854026416870966	-0.09854026416870955
0.10833078115826873	0.32967330315448445	-0.48481368110953604	0.09854026416870965	-0.09854026416870955
0.10833078115826873	0.32967330315448445	-0.3296733031544845	0.09854026416870958	-0.09854026416870958
0.10833078115826873	0.32967330315448445	-0.17453292519943295	0.09854026416870953	-0.09854026416870963
0.10833078115826873	0.48481368110953593	-1.5707963267948966	0.09854026416870967	-0.09854026416870953
