K,omega1,omega2,theta1,theta2,omega_diff
100.1,3.036872898470133,0,[   nan    nan 3.0895    nan],[     nan      nan -0.05262      nan],3.036872898470133
100.1,3.0543261909900767,0,[    nan     nan 3.09818     nan],[     nan      nan -0.04385      nan],3.0543261909900767
100.1,3.07177948351002,0,[    nan     nan 3.10686     nan],[     nan      nan -0.03508      nan],3.07177948351002
100.1,3.0892327760299634,0,[    nan     nan 3.11554     nan],[     nan      nan -0.02631      nan],3.0892327760299634
100.1,3.1066860685499065,0,[    nan     nan 3.12423     nan],[     nan      nan -0.01754      nan],3.1066860685499065
100.1,3.12413936106985,0,[    nan     nan 3.13291     nan],[     nan      nan -0.00877      nan],3.12413936106985
110.1,0.0,0,[nan  0. nan],[nan  0. nan],0.0
110.1,0.017453292519943295,0,[    nan 0.00877     nan     nan],[    nan 0.00869     nan     nan],0.017453292519943295
110.1,0.03490658503988659,0,[    nan 0.01753     nan     nan],[    nan 0.01737     nan     nan],0.03490658503988659
110.1,0.05235987755982989,0,[   nan 0.0263    nan    nan],[    nan 0.02606     nan     nan],0.05235987755982989
110.1,0.06981317007977318,0,[    nan 0.03506     nan     nan],[    nan 0.03475     nan     nan],0.06981317007977318
110.1,0.08726646259971647,0,[    nan 0.04383     nan     nan],[    nan 0.04344     nan     nan],0.08726646259971647
110.1,0.10471975511965978,0,[   nan 0.0526    nan    nan],[    nan 0.05212     nan     nan],0.10471975511965978
110.1,0.12217304763960307,0,[    nan 0.06136     nan     nan],[    nan 0.06081     nan     nan],0.12217304763960307
110.1,0.13962634015954636,0,[    nan 0.07013     nan     nan],[   nan 0.0695    nan    nan],0.13962634015954636
110.1,0.15707963267948966,0,[nan nan nan nan],[nan nan nan nan],0.15707963267948966
110.1,0.17453292519943295,0,[    nan 0.08766     nan     nan],[    nan 0.08687     nan     nan],0.17453292519943295
110.1,0.19198621771937624,0,[    nan 0.09643     nan     nan],[    nan 0.09556     nan     nan],0.19198621771937624
110.1,0.20943951023931956,0,[    nan 0.10519     nan     nan],[    nan 0.10425     nan     nan],0.20943951023931956
110.1,0.22689280275926285,0,[    nan 0.11396     nan     nan],[    nan 0.11293     nan     nan],0.22689280275926285
110.1,0.24434609527920614,0,[    nan 0.12272     nan     nan],[    nan 0.12162     nan     nan],0.24434609527920614
110.1,0.2617993877991494,0,[    nan 0.13149     nan     nan],[    nan 0.13031     nan     nan],0.2617993877991494
110.1,0.2792526803190927,0,[    nan 0.14026     nan     nan],[  nan 0.139   nan   nan],0.2792526803190927
110.1,0.29670597283903605,0,[    nan 0.14902     nan     nan],[    nan 0.14768     nan     nan],0.29670597283903605
110.1,0.3141592653589793,0,[    nan 0.15779     nan     nan],[    nan 0.15637     nan     nan],0.3141592653589793
110.1,0.33161255787892263,0,[    nan 0.16655     nan     nan],[    nan 0.16506     nan     nan],0.33161255787892263
110.1,0.3490658503988659,0,[    nan 0.17532     nan     nan],[    nan 0.17375     nan     nan],0.3490658503988659
110.1,0.3665191429188092,0,[    nan 0.18408     nan     nan],[    nan 0.18244     nan     nan],0.3665191429188092
110.1,0.3839724354387525,0,[    nan 0.19285     nan     nan],[    nan 0.19112     nan     nan],0.3839724354387525
110.1,0.4014257279586958,0,[    nan 0.20161     nan     nan],[    nan 0.19981     nan     nan],0.4014257279586958
110.1,0.4188790204786391,0,[    nan 0.21038     nan     nan],[   nan 0.2085    nan    nan],0.4188790204786391
110.1,0.4363323129985824,0,[    nan 0.21914     nan     nan],[    nan 0.21719     nan     nan],0.4363323129985824
